zaman,duygu,olasilik
2025-06-12 13:44:22.879070,Mutlu,0.5041841
2025-06-12 13:44:22.976849,Uzgun,0.46195844
2025-06-12 13:44:23.109810,Uzgun,0.4671383
2025-06-12 13:44:23.266800,Mutlu,0.38239548
2025-06-12 13:44:23.854681,Mutlu,0.50041735
2025-06-12 13:44:23.991638,Mutlu,0.44082087
2025-06-12 13:44:24.319396,Mutlu,0.65944093
2025-06-12 13:44:24.483838,Mutlu,0.43892407
2025-06-12 13:44:25.075540,Mutlu,0.3681985
2025-06-12 13:44:25.404343,Mutlu,0.6147768
2025-06-12 13:44:25.655201,Mutlu,0.45491198
2025-06-12 13:44:25.974907,Uzgun,0.35565865
2025-06-12 13:44:26.222959,Mutlu,0.5445946
2025-06-12 13:44:27.264647,Mutlu,0.3148391
2025-06-12 13:44:27.568800,Mutlu,0.368534
2025-06-12 13:44:27.833532,Mutlu,0.4005359
2025-06-12 13:44:28.069167,Mutlu,0.38350615
2025-06-12 13:44:28.280278,Mutlu,0.48706368
2025-06-12 13:44:28.463951,Mutlu,0.4874378
2025-06-12 13:44:28.729632,Mutlu,0.37681848
2025-06-12 13:44:28.942140,Mutlu,0.31511375
2025-06-12 13:44:29.118056,Notr,0.34134173
2025-06-12 13:44:29.256598,Uzgun,0.37557462
2025-06-12 13:44:29.472320,Uzgun,0.3683267
2025-06-12 13:44:29.989319,Mutlu,0.43943685
2025-06-12 13:44:30.200435,Uzgun,0.330485
2025-06-12 13:44:30.407049,Mutlu,0.37503016
2025-06-12 13:44:30.665881,Mutlu,0.44754413
2025-06-12 13:44:30.908376,Uzgun,0.3148049
2025-06-12 13:44:31.126748,Mutlu,0.40742013
